CustomerID,CompanyName,Total_MRR,Total_Seats,Total_Logins,Total_ActiveUsers,Total_APICalls,High_Value_Flag,At_Risk_Flag,Account_Status
C1001,Ishaan Joshi Systems,278.6,6.0,148.0,72.0,10276.0,Regular,Not At Risk,Regular
C1002,Tara Sharma Technologies,246.76,4.0,217.0,134.0,15512.0,Regular,Not At Risk,Regular
C1003,Zoya Das Systems,278.6,6.0,187.0,116.0,19771.0,Regular,Not At Risk,Regular
C1004,Diya Joshi Labs,80.36,9.0,82.0,42.0,14012.0,Regular,Not At Risk,Regular
C1005,Tara Joshi Systems,618.76,4.0,133.0,61.0,13232.0,High Value,Not At Risk,High Value
C1006,Sanjay Reddy Labs,1618.92,2.0,86.0,51.0,8815.0,High Value,Not At Risk,High Value
C1007,Sai Das Technologies,658.68,5.0,117.0,64.0,25511.0,High Value,Not At Risk,High Value
C1008,Nikita Gupta Solutions,818.36,9.0,155.0,104.0,23906.0,High Value,Not At Risk,High Value
C1009,Rohan Patel Technologies,2098.6,6.0,220.0,116.0,10535.0,High Value,Not At Risk,High Value
C1010,Tara Iyer Labs,278.6,6.0,81.0,33.0,4316.0,Regular,At Risk,At Risk
C1011,Rohan Iyer Solutions,262.68,5.0,96.0,48.0,22182.0,Regular,Not At Risk,Regular
C1012,Meera Patel Labs,1978.68,5.0,14.0,7.0,6827.0,High Value,At Risk,High Value
C1013,Farhan Das Industries,1931.28,11.0,0.0,0.0,71.0,High Value,At Risk,High Value
C1014,Rahul Patel Industries,68.6,6.0,37.0,22.0,9530.0,Regular,At Risk,At Risk
C1015,Sanjay Gupta Industries,246.76,4.0,61.0,34.0,15818.0,Regular,At Risk,At Risk
C1016,Diya Singh Industries,978.04,13.0,38.0,15.0,6672.0,High Value,At Risk,High Value
C1017,Rahul Reddy Solutions,60.76,4.0,24.0,13.0,2822.0,Regular,At Risk,At Risk
C1018,Myra Khan Systems,2098.6,6.0,87.0,53.0,7947.0,High Value,Not At Risk,High Value
C1019,Deepak Nair Labs,326.36,9.0,149.0,73.0,8711.0,High Value,Not At Risk,High Value
C1020,Saanvi Menon Group,68.6,6.0,55.0,33.0,4663.0,Regular,At Risk,At Risk
C1021,Vivaan Singh Systems,76.44,8.0,264.0,148.0,22493.0,Regular,Not At Risk,Regular
C1022,Rahul Singh Technologies,64.68,5.0,44.0,17.0,22354.0,Regular,At Risk,At Risk
C1023,Meera Menon Industries,778.44,8.0,14.0,4.0,7528.0,High Value,At Risk,High Value
C1024,Vivaan Verma Solutions,246.76,4.0,47.0,22.0,1144.0,Regular,At Risk,At Risk
C1025,Diya Singh Labs,262.68,5.0,70.0,34.0,33541.0,Regular,At Risk,At Risk
C1026,Vivaan Singh Solutions,698.6,6.0,62.0,35.0,6120.0,High Value,At Risk,High Value
C1027,Vihaan Bose Group,778.44,8.0,18.0,10.0,2758.0,High Value,At Risk,High Value
C1028,Ananya Gupta Solutions,294.52,7.0,206.0,123.0,14811.0,High Value,Not At Risk,High Value
C1029,Sai Khan Technologies,698.6,6.0,81.0,35.0,14593.0,High Value,At Risk,High Value
C1030,Rohan Bose Solutions,2458.36,9.0,396.0,231.0,16297.0,High Value,Not At Risk,High Value
