CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel,Total_MRR,Average_MRR,Total_Seats,Subscription_Count,Total_Logins,Average_ActiveUsers,Total_APICalls,Total_SessionMinutes,Usage_Records,Ticket_Count,Average_ResolutionHours,Average_Satisfaction,Tenure_Months,Revenue_Per_Seat,Tickets_Per_Month,Usage_Trend,MRR_Outlier,Seats_Outlier,Login_Outlier,Tickets_Outlier
C1001,Ishaan Joshi Systems,Unknown,India,Hyderabad,80.0,2023-07-02,Paid Ads,278.6,278.6,6.0,1,148.0,4.5,10276.0,2241.4,16.0,4.0,38.675,6.5,34.03,46.43333333333334,0.11754334410813987,Decreasing,False,False,False,False
C1002,Tara Sharma Technologies,Finance,UK,London,12.0,2024-02-21,Referral,246.76,246.76,4.0,1,217.0,12.181818181818182,15512.0,3021.1,11.0,4.0,16.95,7.0,26.35,61.69,0.15180265654648956,Increasing,False,False,False,False
C1003,Zoya Das Systems,Finance,UAE,Dubai,1200.0,2023-09-12,Organic Search,278.6,278.6,6.0,1,187.0,7.25,19771.0,4734.2,16.0,3.0,39.06666666666666,3.0,31.67,46.43333333333334,0.09472687085569939,Decreasing,False,False,False,False
C1004,Diya Joshi Labs,Retail,UK,Manchester,400.0,2024-03-01,Partner,80.36,80.36,9.0,1,82.0,4.2,14012.0,2530.0,10.0,0.0,,,26.05,8.928888888888888,0.0,Increasing,False,False,False,False
C1005,Tara Joshi Systems,Logistics,UK,London,1200.0,2023-12-29,Outbound,618.76,618.76,4.0,1,133.0,4.6923076923076925,13232.0,2102.0,13.0,3.0,43.5,6.0,28.12,154.69,0.10668563300142248,Decreasing,False,False,False,False
C1006,Sanjay Reddy Labs,Manufacturing,India,Hyderabad,35.0,2024-09-15,Organic Search,1618.92,1618.92,2.0,1,86.0,12.75,8815.0,778.2,4.0,3.0,27.033333333333335,6.0,19.55,809.46,0.1534526854219949,Increasing,False,False,False,False
C1007,Sai Das Technologies,Logistics,India,Delhi,12.0,2023-03-26,Referral,658.68,658.68,5.0,1,117.0,2.909090909090909,25511.0,5778.9,22.0,2.0,16.35,8.5,37.25,131.736,0.053691275167785234,Decreasing,False,False,False,False
C1008,Nikita Gupta Solutions,Logistics,UAE,Abu Dhabi,400.0,2024-02-21,Paid Ads,818.36,818.36,9.0,1,155.0,9.454545454545455,23906.0,2882.3,11.0,2.0,36.3,7.5,26.35,90.92888888888889,0.07590132827324478,Increasing,False,False,False,False
C1009,Rohan Patel Technologies,Education,UAE,Abu Dhabi,3000.0,2023-07-27,Outbound,2098.6,2098.6,6.0,1,220.0,6.444444444444445,10535.0,4973.4,18.0,4.0,31.25,5.75,33.21,349.76666666666665,0.12044564890093346,Decreasing,True,False,False,False
C1010,Tara Iyer Labs,Manufacturing,India,Pune,12.0,2023-11-15,Partner,278.6,278.6,6.0,1,81.0,5.5,4316.0,1004.6,6.0,6.0,42.03333333333333,5.333333333333333,29.57,46.43333333333334,0.2029083530605343,Decreasing,False,False,False,False
C1011,Rohan Iyer Solutions,Retail,UAE,Dubai,400.0,2023-05-11,Organic Search,262.68,262.68,5.0,1,96.0,2.4,22182.0,5213.3,20.0,2.0,60.45,4.5,35.74,52.536,0.05595970900951315,Decreasing,False,False,False,False
C1012,Meera Patel Labs,Healthcare,UAE,Dubai,35.0,2023-02-15,Events,1978.68,1978.68,5.0,1,14.0,0.7,6827.0,1715.3,10.0,1.0,46.0,5.0,38.53,395.736,0.025953802232026993,Decreasing,True,False,False,False
