CustomerID,CompanyName,Industry,Country,Total_MRR,Total_Seats,Total_Logins,Total_ActiveUsers,Total_APICalls,Total_SessionMinutes,Customer_Status
C1001,Ishaan Joshi Systems,Unknown,India,278.6,6.0,148.0,72.0,10276.0,2241.4,Churned
C1002,Tara Sharma Technologies,Finance,UK,246.76,4.0,217.0,134.0,15512.0,3021.1,Retained
C1003,Zoya Das Systems,Finance,UAE,278.6,6.0,187.0,116.0,19771.0,4734.2,Retained
C1004,Diya Joshi Labs,Retail,UK,80.36,9.0,82.0,42.0,14012.0,2530.0,Retained
C1005,Tara Joshi Systems,Logistics,UK,618.76,4.0,133.0,61.0,13232.0,2102.0,Churned
C1006,Sanjay Reddy Labs,Manufacturing,India,1618.92,2.0,86.0,51.0,8815.0,778.2,Retained
C1007,Sai Das Technologies,Logistics,India,658.68,5.0,117.0,64.0,25511.0,5778.9,Retained
C1008,Nikita Gupta Solutions,Logistics,UAE,818.36,9.0,155.0,104.0,23906.0,2882.3,Retained
C1009,Rohan Patel Technologies,Education,UAE,2098.6,6.0,220.0,116.0,10535.0,4973.4,Retained
C1010,Tara Iyer Labs,Manufacturing,India,278.6,6.0,81.0,33.0,4316.0,1004.6,Churned
C1011,Rohan Iyer Solutions,Retail,UAE,262.68,5.0,96.0,48.0,22182.0,5213.3,Retained
C1012,Meera Patel Labs,Healthcare,UAE,1978.68,5.0,14.0,7.0,6827.0,1715.3,Churned
C1013,Farhan Das Industries,Retail,UK,1931.28,11.0,0.0,0.0,71.0,242.1,Churned
C1014,Rahul Patel Industries,Media,India,68.6,6.0,37.0,22.0,9530.0,1674.5,Retained
C1015,Sanjay Gupta Industries,Finance,India,246.76,4.0,61.0,34.0,15818.0,3158.3,Retained
C1016,Diya Singh Industries,Media,UK,978.04,13.0,38.0,15.0,6672.0,1720.7,Churned
C1017,Rahul Reddy Solutions,Unknown,USA,60.76,4.0,24.0,13.0,2822.0,1829.2,Retained
C1018,Myra Khan Systems,Finance,USA,2098.6,6.0,87.0,53.0,7947.0,2759.6,Retained
C1019,Deepak Nair Labs,Finance,Singapore,326.36,9.0,149.0,73.0,8711.0,2472.2999999999997,Retained
C1020,Saanvi Menon Group,Retail,India,68.6,6.0,55.0,33.0,4663.0,1145.0,Churned
C1021,Vivaan Singh Systems,Finance,USA,76.44,8.0,264.0,148.0,22493.0,4930.3,Retained
C1022,Rahul Singh Technologies,Retail,USA,64.68,5.0,44.0,17.0,22354.0,3823.9,Retained
C1023,Meera Menon Industries,Media,USA,778.44,8.0,14.0,4.0,7528.0,1362.1,Retained
C1024,Vivaan Verma Solutions,Retail,India,246.76,4.0,47.0,22.0,1144.0,770.4000000000001,Retained
C1025,Diya Singh Labs,Manufacturing,USA,262.68,5.0,70.0,34.0,33541.0,5612.8,Retained
C1026,Vivaan Singh Solutions,Manufacturing,India,698.6,6.0,62.0,35.0,6120.0,1204.1,Churned
C1027,Vihaan Bose Group,Manufacturing,India,778.44,8.0,18.0,10.0,2758.0,918.7,Churned
C1028,Ananya Gupta Solutions,Manufacturing,India,294.52,7.0,206.0,123.0,14811.0,3007.7,Churned
