CohortMonth,Customers,Month_1_Retention,Month_2_Retention,Month_3_Retention
2023-01,11,100.0,100.0,100.0
2023-02,16,100.0,100.0,100.0
2023-03,19,100.0,100.0,100.0
2023-04,19,100.0,94.74,94.74
2023-05,25,100.0,100.0,100.0
2023-06,16,100.0,100.0,93.75
2023-07,20,100.0,100.0,100.0
2023-08,16,100.0,100.0,100.0
2023-09,15,100.0,100.0,100.0
2023-10,13,100.0,100.0,100.0
2023-11,15,100.0,100.0,100.0
2023-12,17,100.0,100.0,100.0
2024-01,10,100.0,100.0,90.0
2024-02,16,100.0,100.0,100.0
2024-03,24,100.0,100.0,100.0
2024-04,14,100.0,100.0,100.0
2024-05,14,100.0,100.0,100.0
2024-06,18,100.0,100.0,100.0
2024-07,16,100.0,100.0,100.0
2024-08,26,100.0,100.0,100.0
2024-09,15,100.0,100.0,100.0
2024-10,18,100.0,100.0,0.0
2024-11,19,100.0,0.0,0.0
2024-12,14,0.0,0.0,0.0
2025-01,14,,,
