CustomerID,ActivityMonth,CohortMonth,CohortIndex
C1001,2023-07,2023-07,0
C1001,2023-08,2023-07,1
C1001,2023-09,2023-07,2
C1001,2023-10,2023-07,3
C1001,2023-11,2023-07,4
C1001,2023-12,2023-07,5
C1001,2024-01,2023-07,6
C1001,2024-02,2023-07,7
C1001,2024-03,2023-07,8
C1001,2024-04,2023-07,9
C1001,2024-05,2023-07,10
C1001,2024-06,2023-07,11
C1001,2024-07,2023-07,12
C1001,2024-08,2023-07,13
C1001,2024-09,2023-07,14
C1001,2024-10,2023-07,15
C1002,2024-02,2024-02,0
C1002,2024-03,2024-02,1
C1002,2024-04,2024-02,2
C1002,2024-05,2024-02,3
C1002,2024-06,2024-02,4
C1002,2024-07,2024-02,5
C1002,2024-08,2024-02,6
C1002,2024-09,2024-02,7
C1002,2024-10,2024-02,8
C1002,2024-11,2024-02,9
C1002,2024-12,2024-02,10
C1003,2023-09,2023-09,0
C1003,2023-10,2023-09,1
C1003,2023-11,2023-09,2
C1003,2023-12,2023-09,3
C1003,2024-01,2023-09,4
C1003,2024-02,2023-09,5
C1003,2024-03,2023-09,6
C1003,2024-04,2023-09,7
C1003,2024-05,2023-09,8
C1003,2024-06,2023-09,9
C1003,2024-07,2023-09,10
C1003,2024-08,2023-09,11
C1003,2024-09,2023-09,12
C1003,2024-10,2023-09,13
C1003,2024-11,2023-09,14
C1003,2024-12,2023-09,15
C1004,2024-03,2024-03,0
C1004,2024-04,2024-03,1
C1004,2024-05,2024-03,2
C1004,2024-06,2024-03,3
C1004,2024-07,2024-03,4
C1004,2024-08,2024-03,5
C1004,2024-09,2024-03,6
C1004,2024-10,2024-03,7
C1004,2024-11,2024-03,8
C1004,2024-12,2024-03,9
C1005,2023-12,2023-12,0
C1005,2024-01,2023-12,1
C1005,2024-02,2023-12,2
C1005,2024-03,2023-12,3
C1005,2024-04,2023-12,4
C1005,2024-05,2023-12,5
C1005,2024-06,2023-12,6
C1005,2024-07,2023-12,7
C1005,2024-08,2023-12,8
C1005,2024-09,2023-12,9
C1005,2024-10,2023-12,10
C1005,2024-11,2023-12,11
C1005,2024-12,2023-12,12
C1006,2024-09,2024-09,0
C1006,2024-10,2024-09,1
C1006,2024-11,2024-09,2
C1006,2024-12,2024-09,3
C1007,2023-03,2023-03,0
C1007,2023-04,2023-03,1
C1007,2023-05,2023-03,2
C1007,2023-06,2023-03,3
C1007,2023-07,2023-03,4
C1007,2023-08,2023-03,5
C1007,2023-09,2023-03,6
C1007,2023-10,2023-03,7
C1007,2023-11,2023-03,8
C1007,2023-12,2023-03,9
C1007,2024-01,2023-03,10
C1007,2024-02,2023-03,11
C1007,2024-03,2023-03,12
C1007,2024-04,2023-03,13
C1007,2024-05,2023-03,14
C1007,2024-06,2023-03,15
C1007,2024-07,2023-03,16
C1007,2024-08,2023-03,17
C1007,2024-09,2023-03,18
C1007,2024-10,2023-03,19
C1007,2024-11,2023-03,20
C1007,2024-12,2023-03,21
C1008,2024-02,2024-02,0
C1008,2024-03,2024-02,1
C1008,2024-04,2024-02,2
C1008,2024-05,2024-02,3
C1008,2024-06,2024-02,4
C1008,2024-07,2024-02,5
C1008,2024-08,2024-02,6
C1008,2024-09,2024-02,7
C1008,2024-10,2024-02,8
C1008,2024-11,2024-02,9
C1008,2024-12,2024-02,10
C1009,2023-07,2023-07,0
C1009,2023-08,2023-07,1
C1009,2023-09,2023-07,2
C1009,2023-10,2023-07,3
C1009,2023-11,2023-07,4
C1009,2023-12,2023-07,5
C1009,2024-01,2023-07,6
C1009,2024-02,2023-07,7
C1009,2024-03,2023-07,8
C1009,2024-04,2023-07,9
C1009,2024-05,2023-07,10
C1009,2024-06,2023-07,11
C1009,2024-07,2023-07,12
C1009,2024-08,2023-07,13
C1009,2024-09,2023-07,14
C1009,2024-10,2023-07,15
C1009,2024-11,2023-07,16
C1009,2024-12,2023-07,17
C1010,2023-11,2023-11,0
C1010,2023-12,2023-11,1
C1010,2024-01,2023-11,2
C1010,2024-02,2023-11,3
C1010,2024-03,2023-11,4
C1010,2024-04,2023-11,5
C1011,2023-05,2023-05,0
C1011,2023-06,2023-05,1
C1011,2023-07,2023-05,2
C1011,2023-08,2023-05,3
C1011,2023-09,2023-05,4
C1011,2023-10,2023-05,5
C1011,2023-11,2023-05,6
C1011,2023-12,2023-05,7
C1011,2024-01,2023-05,8
C1011,2024-02,2023-05,9
C1011,2024-03,2023-05,10
C1011,2024-04,2023-05,11
C1011,2024-05,2023-05,12
C1011,2024-06,2023-05,13
C1011,2024-07,2023-05,14
C1011,2024-08,2023-05,15
C1011,2024-09,2023-05,16
C1011,2024-10,2023-05,17
C1011,2024-11,2023-05,18
C1011,2024-12,2023-05,19
C1012,2023-02,2023-02,0
C1012,2023-03,2023-02,1
C1012,2023-04,2023-02,2
C1012,2023-05,2023-02,3
C1012,2023-06,2023-02,4
C1012,2023-07,2023-02,5
C1012,2023-08,2023-02,6
C1012,2023-09,2023-02,7
C1012,2023-10,2023-02,8
C1012,2023-11,2023-02,9
C1013,2024-12,2024-12,0
C1014,2024-07,2024-07,0
C1014,2024-08,2024-07,1
C1014,2024-09,2024-07,2
C1014,2024-10,2024-07,3
C1014,2024-11,2024-07,4
C1014,2024-12,2024-07,5
C1015,2024-01,2024-01,0
C1015,2024-02,2024-01,1
C1015,2024-03,2024-01,2
C1015,2024-04,2024-01,3
C1015,2024-05,2024-01,4
C1015,2024-06,2024-01,5
C1015,2024-07,2024-01,6
C1015,2024-08,2024-01,7
C1015,2024-09,2024-01,8
C1015,2024-10,2024-01,9
C1015,2024-11,2024-01,10
C1015,2024-12,2024-01,11
C1016,2024-01,2024-01,0
C1016,2024-02,2024-01,1
C1016,2024-03,2024-01,2
C1016,2024-04,2024-01,3
C1016,2024-05,2024-01,4
C1016,2024-06,2024-01,5
C1016,2024-07,2024-01,6
C1016,2024-08,2024-01,7
C1016,2024-09,2024-01,8
C1016,2024-10,2024-01,9
C1016,2024-11,2024-01,10
C1016,2024-12,2024-01,11
C1017,2024-06,2024-06,0
C1017,2024-07,2024-06,1
C1017,2024-08,2024-06,2
C1017,2024-09,2024-06,3
C1017,2024-10,2024-06,4
C1017,2024-11,2024-06,5
C1017,2024-12,2024-06,6
C1018,2024-03,2024-03,0
C1018,2024-04,2024-03,1
C1018,2024-05,2024-03,2
C1018,2024-06,2024-03,3
C1018,2024-07,2024-03,4
C1018,2024-08,2024-03,5
C1018,2024-09,2024-03,6
C1018,2024-10,2024-03,7
C1018,2024-11,2024-03,8
C1018,2024-12,2024-03,9
C1019,2024-04,2024-04,0
C1019,2024-05,2024-04,1
C1019,2024-06,2024-04,2
C1019,2024-07,2024-04,3
C1019,2024-08,2024-04,4
C1019,2024-09,2024-04,5
C1019,2024-10,2024-04,6
C1019,2024-11,2024-04,7
C1019,2024-12,2024-04,8
C1020,2023-12,2023-12,0
C1020,2024-01,2023-12,1
C1020,2024-02,2023-12,2
C1020,2024-03,2023-12,3
C1020,2024-04,2023-12,4
C1020,2024-05,2023-12,5
C1020,2024-06,2023-12,6
C1021,2023-05,2023-05,0
C1021,2023-06,2023-05,1
C1021,2023-07,2023-05,2
C1021,2023-08,2023-05,3
C1021,2023-09,2023-05,4
C1021,2023-10,2023-05,5
C1021,2023-11,2023-05,6
C1021,2023-12,2023-05,7
C1021,2024-01,2023-05,8
C1021,2024-02,2023-05,9
C1021,2024-03,2023-05,10
C1021,2024-04,2023-05,11
C1021,2024-05,2023-05,12
C1021,2024-06,2023-05,13
C1021,2024-07,2023-05,14
C1021,2024-08,2023-05,15
C1021,2024-09,2023-05,16
C1021,2024-10,2023-05,17
C1021,2024-11,2023-05,18
C1021,2024-12,2023-05,19
C1022,2023-09,2023-09,0
C1022,2023-10,2023-09,1
C1022,2023-11,2023-09,2
C1022,2023-12,2023-09,3
C1022,2024-01,2023-09,4
C1022,2024-02,2023-09,5
C1022,2024-03,2023-09,6
C1022,2024-04,2023-09,7
C1022,2024-05,2023-09,8
C1022,2024-06,2023-09,9
C1022,2024-07,2023-09,10
C1022,2024-08,2023-09,11
C1022,2024-09,2023-09,12
C1022,2024-10,2023-09,13
C1022,2024-11,2023-09,14
C1022,2024-12,2023-09,15
C1023,2024-08,2024-08,0
C1023,2024-09,2024-08,1
C1023,2024-10,2024-08,2
C1023,2024-11,2024-08,3
C1023,2024-12,2024-08,4
C1024,2024-10,2024-10,0
C1024,2024-11,2024-10,1
C1024,2024-12,2024-10,2
C1025,2023-04,2023-04,0
C1025,2023-05,2023-04,1
C1025,2023-06,2023-04,2
C1025,2023-07,2023-04,3
C1025,2023-08,2023-04,4
C1025,2023-09,2023-04,5
C1025,2023-10,2023-04,6
C1025,2023-11,2023-04,7
C1025,2023-12,2023-04,8
C1025,2024-01,2023-04,9
C1025,2024-02,2023-04,10
C1025,2024-03,2023-04,11
C1025,2024-04,2023-04,12
C1025,2024-05,2023-04,13
C1025,2024-06,2023-04,14
C1025,2024-07,2023-04,15
C1025,2024-08,2023-04,16
C1025,2024-09,2023-04,17
C1025,2024-10,2023-04,18
C1025,2024-11,2023-04,19
C1025,2024-12,2023-04,20
C1026,2024-05,2024-05,0
C1026,2024-06,2024-05,1
C1026,2024-07,2024-05,2
C1026,2024-08,2024-05,3
C1026,2024-09,2024-05,4
C1026,2024-10,2024-05,5
C1026,2024-11,2024-05,6
C1026,2024-12,2024-05,7
C1027,2023-05,2023-05,0
C1027,2023-06,2023-05,1
C1027,2023-07,2023-05,2
C1027,2023-08,2023-05,3
C1027,2023-09,2023-05,4
C1027,2023-10,2023-05,5
C1028,2023-06,2023-06,0
C1028,2023-07,2023-06,1
C1028,2023-08,2023-06,2
C1028,2023-09,2023-06,3
C1028,2023-10,2023-06,4
C1028,2023-11,2023-06,5
C1028,2023-12,2023-06,6
C1028,2024-01,2023-06,7
C1028,2024-02,2023-06,8
C1028,2024-03,2023-06,9
C1028,2024-04,2023-06,10
C1028,2024-05,2023-06,11
C1028,2024-06,2023-06,12
C1028,2024-07,2023-06,13
C1028,2024-08,2023-06,14
C1028,2024-09,2023-06,15
C1028,2024-10,2023-06,16
C1028,2024-11,2023-06,17
C1028,2024-12,2023-06,18
C1029,2024-01,2024-01,0
C1029,2024-02,2024-01,1
C1029,2024-03,2024-01,2
C1029,2024-04,2024-01,3
C1029,2024-05,2024-01,4
C1029,2024-06,2024-01,5
C1029,2024-07,2024-01,6
C1029,2024-08,2024-01,7
C1029,2024-09,2024-01,8
C1029,2024-10,2024-01,9
C1029,2024-11,2024-01,10
C1029,2024-12,2024-01,11
C1030,2023-04,2023-04,0
C1030,2023-05,2023-04,1
C1030,2023-06,2023-04,2
C1030,2023-07,2023-04,3
C1030,2023-08,2023-04,4
C1030,2023-09,2023-04,5
C1030,2023-10,2023-04,6
C1030,2023-11,2023-04,7
C1030,2023-12,2023-04,8
C1030,2024-01,2023-04,9
C1030,2024-02,2023-04,10
C1030,2024-03,2023-04,11
C1030,2024-04,2023-04,12
C1030,2024-05,2023-04,13
C1030,2024-06,2023-04,14
C1030,2024-07,2023-04,15
C1030,2024-08,2023-04,16
C1030,2024-09,2023-04,17
C1030,2024-10,2023-04,18
C1030,2024-11,2023-04,19
C1030,2024-12,2023-04,20
C1033,2023-11,2023-11,0
C1033,2023-12,2023-11,1
C1033,2024-01,2023-11,2
C1033,2024-02,2023-11,3
C1033,2024-03,2023-11,4
C1033,2024-04,2023-11,5
C1033,2024-05,2023-11,6
C1033,2024-06,2023-11,7
C1033,2024-07,2023-11,8
C1033,2024-08,2023-11,9
C1033,2024-09,2023-11,10
C1033,2024-10,2023-11,11
C1033,2024-11,2023-11,12
C1033,2024-12,2023-11,13
C1035,2023-06,2023-06,0
C1035,2023-07,2023-06,1
C1035,2023-08,2023-06,2
C1035,2023-09,2023-06,3
C1035,2023-10,2023-06,4
C1035,2023-11,2023-06,5
C1035,2023-12,2023-06,6
C1035,2024-01,2023-06,7
C1035,2024-02,2023-06,8
C1035,2024-03,2023-06,9
C1035,2024-04,2023-06,10
C1035,2024-05,2023-06,11
C1035,2024-06,2023-06,12
C1035,2024-07,2023-06,13
C1035,2024-08,2023-06,14
C1035,2024-09,2023-06,15
C1035,2024-10,2023-06,16
C1035,2024-11,2023-06,17
C1035,2024-12,2023-06,18
C1036,2023-08,2023-08,0
C1036,2023-09,2023-08,1
C1036,2023-10,2023-08,2
C1036,2023-11,2023-08,3
C1036,2023-12,2023-08,4
C1036,2024-01,2023-08,5
C1036,2024-02,2023-08,6
C1036,2024-03,2023-08,7
C1036,2024-04,2023-08,8
C1036,2024-05,2023-08,9
C1036,2024-06,2023-08,10
C1036,2024-07,2023-08,11
C1036,2024-08,2023-08,12
C1036,2024-09,2023-08,13
C1036,2024-10,2023-08,14
C1036,2024-11,2023-08,15
C1036,2024-12,2023-08,16
C1037,2024-02,2024-02,0
C1037,2024-03,2024-02,1
C1037,2024-04,2024-02,2
C1037,2024-05,2024-02,3
C1037,2024-06,2024-02,4
C1037,2024-07,2024-02,5
C1037,2024-08,2024-02,6
C1037,2024-09,2024-02,7
C1037,2024-10,2024-02,8
C1037,2024-11,2024-02,9
C1037,2024-12,2024-02,10
C1038,2023-05,2023-05,0
C1038,2023-06,2023-05,1
C1038,2023-07,2023-05,2
C1038,2023-08,2023-05,3
C1038,2023-09,2023-05,4
C1038,2023-10,2023-05,5
C1038,2023-11,2023-05,6
C1038,2023-12,2023-05,7
C1038,2024-01,2023-05,8
C1038,2024-02,2023-05,9
C1038,2024-03,2023-05,10
C1038,2024-04,2023-05,11
C1038,2024-05,2023-05,12
C1038,2024-06,2023-05,13
C1039,2023-03,2023-03,0
C1039,2023-04,2023-03,1
C1039,2023-05,2023-03,2
C1039,2023-06,2023-03,3
C1039,2023-07,2023-03,4
C1039,2023-08,2023-03,5
C1039,2023-09,2023-03,6
C1039,2023-10,2023-03,7
C1039,2023-11,2023-03,8
C1039,2023-12,2023-03,9
C1039,2024-01,2023-03,10
C1039,2024-02,2023-03,11
C1039,2024-03,2023-03,12
C1039,2024-04,2023-03,13
C1039,2024-05,2023-03,14
C1039,2024-06,2023-03,15
C1039,2024-07,2023-03,16
C1039,2024-08,2023-03,17
C1039,2024-09,2023-03,18
C1039,2024-10,2023-03,19
C1039,2024-11,2023-03,20
C1039,2024-12,2023-03,21
C1040,2024-02,2024-02,0
C1040,2024-03,2024-02,1
C1040,2024-04,2024-02,2
C1040,2024-05,2024-02,3
C1040,2024-06,2024-02,4
C1040,2024-07,2024-02,5
C1040,2024-08,2024-02,6
C1040,2024-09,2024-02,7
C1040,2024-10,2024-02,8
C1040,2024-11,2024-02,9
C1040,2024-12,2024-02,10
C1041,2023-12,2023-12,0
C1041,2024-01,2023-12,1
C1041,2024-02,2023-12,2
C1041,2024-03,2023-12,3
C1041,2024-04,2023-12,4
C1041,2024-05,2023-12,5
C1041,2024-06,2023-12,6
C1041,2024-07,2023-12,7
C1041,2024-08,2023-12,8
C1041,2024-09,2023-12,9
C1041,2024-10,2023-12,10
C1041,2024-11,2023-12,11
C1041,2024-12,2023-12,12
C1042,2023-05,2023-05,0
C1042,2023-06,2023-05,1
C1042,2023-07,2023-05,2
C1042,2023-08,2023-05,3
C1042,2023-09,2023-05,4
C1042,2023-10,2023-05,5
C1042,2023-11,2023-05,6
C1042,2023-12,2023-05,7
C1042,2024-01,2023-05,8
C1042,2024-02,2023-05,9
C1042,2024-03,2023-05,10
C1042,2024-04,2023-05,11
C1042,2024-05,2023-05,12
C1042,2024-06,2023-05,13
C1042,2024-07,2023-05,14
C1042,2024-08,2023-05,15
C1042,2024-09,2023-05,16
C1042,2024-10,2023-05,17
C1042,2024-11,2023-05,18
C1042,2024-12,2023-05,19
C1043,2023-07,2023-07,0
C1043,2023-08,2023-07,1
C1043,2023-09,2023-07,2
C1043,2023-10,2023-07,3
C1043,2023-11,2023-07,4
C1043,2023-12,2023-07,5
C1043,2024-01,2023-07,6
C1043,2024-02,2023-07,7
C1043,2024-03,2023-07,8
C1043,2024-04,2023-07,9
C1043,2024-05,2023-07,10
C1043,2024-06,2023-07,11
C1043,2024-07,2023-07,12
C1043,2024-08,2023-07,13
C1043,2024-09,2023-07,14
C1043,2024-10,2023-07,15
C1043,2024-11,2023-07,16
C1043,2024-12,2023-07,17
C1044,2024-07,2024-07,0
C1044,2024-08,2024-07,1
C1044,2024-09,2024-07,2
