CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel,Total_MRR,Total_Seats,Total_Logins,Total_ActiveUsers,Total_APICalls,Total_SessionMinutes,Ticket_Count,Average_Satisfaction,Average_ResolutionHours,Churn_Status,Satisfaction_Group
C1001,Ishaan Joshi Systems,Unknown,India,Hyderabad,80.0,2023-07-02,Paid Ads,278.6,6.0,148.0,72.0,10276.0,2241.4,4.0,6.5,38.675,Churned,Excellent (>4)
C1002,Tara Sharma Technologies,Finance,UK,London,12.0,2024-02-21,Referral,246.76,4.0,217.0,134.0,15512.0,3021.1,4.0,7.0,16.95,Retained,Excellent (>4)
C1003,Zoya Das Systems,Finance,UAE,Dubai,1200.0,2023-09-12,Organic Search,278.6,6.0,187.0,116.0,19771.0,4734.2,3.0,3.0,39.06666666666666,Retained,Moderate (>2–3)
C1004,Diya Joshi Labs,Retail,UK,Manchester,400.0,2024-03-01,Partner,80.36,9.0,82.0,42.0,14012.0,2530.0,0.0,,,Retained,
C1005,Tara Joshi Systems,Logistics,UK,London,1200.0,2023-12-29,Outbound,618.76,4.0,133.0,61.0,13232.0,2102.0,3.0,6.0,43.5,Churned,Excellent (>4)
C1006,Sanjay Reddy Labs,Manufacturing,India,Hyderabad,35.0,2024-09-15,Organic Search,1618.92,2.0,86.0,51.0,8815.0,778.2,3.0,6.0,27.033333333333335,Retained,Excellent (>4)
C1007,Sai Das Technologies,Logistics,India,Delhi,12.0,2023-03-26,Referral,658.68,5.0,117.0,64.0,25511.0,5778.9,2.0,8.5,16.35,Retained,Excellent (>4)
C1008,Nikita Gupta Solutions,Logistics,UAE,Abu Dhabi,400.0,2024-02-21,Paid Ads,818.36,9.0,155.0,104.0,23906.0,2882.3,2.0,7.5,36.3,Retained,Excellent (>4)
C1009,Rohan Patel Technologies,Education,UAE,Abu Dhabi,3000.0,2023-07-27,Outbound,2098.6,6.0,220.0,116.0,10535.0,4973.4,4.0,5.75,31.25,Retained,Excellent (>4)
C1010,Tara Iyer Labs,Manufacturing,India,Pune,12.0,2023-11-15,Partner,278.6,6.0,81.0,33.0,4316.0,1004.6,6.0,5.333333333333333,42.03333333333333,Churned,Excellent (>4)
C1011,Rohan Iyer Solutions,Retail,UAE,Dubai,400.0,2023-05-11,Organic Search,262.68,5.0,96.0,48.0,22182.0,5213.3,2.0,4.5,60.45,Retained,Excellent (>4)
C1012,Meera Patel Labs,Healthcare,UAE,Dubai,35.0,2023-02-15,Events,1978.68,5.0,14.0,7.0,6827.0,1715.3,1.0,5.0,46.0,Churned,Excellent (>4)
C1013,Farhan Das Industries,Retail,UK,London,12.0,2024-12-10,Organic Search,1931.28,11.0,0.0,0.0,71.0,242.1,1.0,6.0,71.1,Churned,Excellent (>4)
C1014,Rahul Patel Industries,Media,India,Chennai,1200.0,2024-07-10,Partner,68.6,6.0,37.0,22.0,9530.0,1674.5,2.0,6.0,37.05,Retained,Excellent (>4)
C1015,Sanjay Gupta Industries,Finance,India,Mumbai,35.0,2024-01-15,Partner,246.76,4.0,61.0,34.0,15818.0,3158.3,3.0,5.0,46.800000000000004,Retained,Excellent (>4)
