CustomerID,CompanyName,Total_MRR,Total_Seats,Total_Logins,Average_ActiveUsers,Total_SessionMinutes,Total_APICalls,Ticket_Count,Average_Satisfaction,Low_Login_Risk,Low_ActiveUser_Risk,Low_Session_Risk,High_Ticket_Risk,Low_Satisfaction_Risk,Risk_Score,Risk_Level,Risk_Rank
C1385,Vihaan Das Group,2218.52,7.0,3.0,0.5,155.89999999999998,3759.0,5.0,5.2,1,1,1,1,1,8,High Risk,1
C1257,Vihaan Patel Solutions,1858.76,4.0,30.0,3.0,519.1,2143.0,5.0,5.2,1,1,1,1,1,8,High Risk,2
C1056,Kavya Rao Systems,658.68,5.0,14.0,1.0,1681.6999999999998,14097.0,4.0,4.5,1,1,1,1,1,8,High Risk,3
C1378,Sneha Reddy Solutions,383.20000000000005,12.0,23.0,0.5,2126.9,12094.0,4.0,3.0,1,1,1,1,1,8,High Risk,4
C1401,Naveen Gupta Solutions,342.28,10.0,27.0,1.0,2021.3,3975.0,4.0,5.25,1,1,1,1,1,8,High Risk,5
C1317,Divya Patel Systems,326.36,9.0,29.0,3.0,1219.8,6862.0,4.0,4.75,1,1,1,1,1,8,High Risk,6
C1398,Zoya Rao Group,326.36,9.0,41.0,1.25,1926.9,9588.0,4.0,4.75,1,1,1,1,1,8,High Risk,7
C1417,Naveen Patel Technologies,326.36,9.0,15.0,2.5,308.5,4770.0,4.0,5.0,1,1,1,1,1,8,High Risk,8
C1074,Priya Khan Group,294.52,7.0,22.0,4.0,647.0,3339.0,5.0,4.4,1,1,1,1,1,8,High Risk,9
C1152,Nikita Verma Technologies,294.52,7.0,19.0,1.4,886.7,4282.0,5.0,5.2,1,1,1,1,1,8,High Risk,10
C1355,Nikita Reddy Technologies,294.52,11.0,26.0,4.0,642.7,549.0,4.0,5.0,1,1,1,1,1,8,High Risk,11
C1140,Aarav Nair Systems,278.6,6.0,36.0,3.75,781.7,1991.0,7.0,5.285714285714286,1,1,1,1,1,8,High Risk,12
C1305,Ananya Reddy Solutions,262.68,7.0,3.0,0.5,452.9,1195.0,5.0,4.4,1,1,1,1,1,8,High Risk,13
C1038,Sneha Menon Industries,246.76,4.0,71.0,2.7142857142857144,1877.9,9156.0,4.0,4.25,1,1,1,1,1,8,High Risk,14
C1116,Isha Gupta Group,80.36,9.0,3.0,2.0,206.0,1626.0,5.0,5.2,1,1,1,1,1,8,High Risk,15
C1160,Ishaan Singh Group,68.6,6.0,10.0,4.0,228.8,597.0,4.0,5.0,1,1,1,1,1,8,High Risk,16
C1032,Naveen Menon Industries,60.76,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1,1,1,1,1,8,High Risk,17
C1215,Zoya Patel Solutions,60.76,4.0,18.0,1.2,1392.0,4925.0,5.0,5.2,1,1,1,1,1,8,High Risk,18
C1063,Rahul Menon Systems,56.84,3.0,52.0,2.5,1460.6,12377.0,4.0,4.75,1,1,1,1,1,8,High Risk,19
C1242,Deepak Bose Group,2648.88,16.0,7.0,1.5,584.8,2842.0,3.0,5.333333333333333,1,1,1,0,1,7,High Risk,20
C1034,Sneha Rao Industries,2578.28,10.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,1,1,1,0,1,7,High Risk,21
C1113,Riya Iyer Technologies,2578.28,10.0,75.0,14.5,898.3,5941.0,5.0,5.0,1,0,1,1,1,7,High Risk,22
